Train Iteration: 100%
9044/9044 [3:46:45<00:00, 1.50s/it]
/usr/local/lib/python3.6/dist-packages/torch/optim/lr_scheduler.py:224: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
{'avg_chunks': 0.6, 'loss': 0.607948112487793, 'learning_rate': 1.996462035987728e-05, 'optimizer_steps': 1}
Save completed. storage/outputs/xlnet_trainer_checkpoints/chkpt_0
Val Iteration: 100%
1532/1533 [16:16<00:00, 1.57it/s]

Validation loss: 2.29600037421499
{'avg_chunks': 3.0, 'loss': 2.6839406967163084, 'learning_rate': 1.996462035987728e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.4, 'loss': 2.342323327064514, 'learning_rate': 1.996462035987728e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.2, 'loss': 2.6454400300979612, 'learning_rate': 1.996462035987728e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.4, 'loss': 2.4717233180999756, 'learning_rate': 1.9929240719754556e-05, 'optimizer_steps': 2}
{'avg_chunks': 3.2, 'loss': 2.7572077751159667, 'learning_rate': 1.9929240719754556e-05, 'optimizer_steps': 2}
{'avg_chunks': 2.8, 'loss': 2.30830659866333, 'learning_rate': 1.9929240719754556e-05, 'optimizer_steps': 2}
{'avg_chunks': 3.4, 'loss': 2.38684983253479, 'learning_rate': 1.9893861079631833e-05, 'optimizer_steps': 3}
{'avg_chunks': 2.4, 'loss': 2.5884968280792235, 'learning_rate': 1.9893861079631833e-05, 'optimizer_steps': 3}
{'avg_chunks': 2.4, 'loss': 2.1704253435134886, 'learning_rate': 1.9893861079631833e-05, 'optimizer_steps': 3}
{'avg_chunks': 2.4, 'loss': 2.160167407989502, 'learning_rate': 1.985848143950911e-05, 'optimizer_steps': 4}
{'avg_chunks': 3.8, 'loss': 2.7833163261413576, 'learning_rate': 1.985848143950911e-05, 'optimizer_steps': 4}
{'avg_chunks': 4.6, 'loss': 2.6034643173217775, 'learning_rate': 1.985848143950911e-05, 'optimizer_steps': 4}
{'avg_chunks': 2.6, 'loss': 2.3090606689453126, 'learning_rate': 1.9823101799386385e-05, 'optimizer_steps': 5}
{'avg_chunks': 3.4, 'loss': 2.3719162940979004, 'learning_rate': 1.9823101799386385e-05, 'optimizer_steps': 5}
{'avg_chunks': 2.8, 'loss': 2.438011312484741, 'learning_rate': 1.9823101799386385e-05, 'optimizer_steps': 5}
{'avg_chunks': 2.2, 'loss': 2.2374783515930177, 'learning_rate': 1.9787722159263662e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.6, 'loss': 2.586330032348633, 'learning_rate': 1.9787722159263662e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.2, 'loss': 2.4835607290267943, 'learning_rate': 1.9787722159263662e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.8, 'loss': 2.2759856462478636, 'learning_rate': 1.9787722159263662e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.2, 'loss': 2.422067403793335, 'learning_rate': 1.975234251914094e-05, 'optimizer_steps': 7}
{'avg_chunks': 3.6, 'loss': 2.770253610610962, 'learning_rate': 1.975234251914094e-05, 'optimizer_steps': 7}
{'avg_chunks': 2.2, 'loss': 2.6995725631713867, 'learning_rate': 1.975234251914094e-05, 'optimizer_steps': 7}
{'avg_chunks': 2.6, 'loss': 2.3143769979476927, 'learning_rate': 1.9716962879018216e-05, 'optimizer_steps': 8}
{'avg_chunks': 2.8, 'loss': 2.722837448120117, 'learning_rate': 1.9716962879018216e-05, 'optimizer_steps': 8}
{'avg_chunks': 3.2, 'loss': 2.4774178981781008, 'learning_rate': 1.9716962879018216e-05, 'optimizer_steps': 8}
{'avg_chunks': 3.0, 'loss': 2.438615608215332, 'learning_rate': 1.9681583238895494e-05, 'optimizer_steps': 9}
{'avg_chunks': 2.4, 'loss': 2.1137917041778564, 'learning_rate': 1.9681583238895494e-05, 'optimizer_steps': 9}
{'avg_chunks': 4.0, 'loss': 2.681593179702759, 'learning_rate': 1.9681583238895494e-05, 'optimizer_steps': 9}
{'avg_chunks': 2.8, 'loss': 2.446944570541382, 'learning_rate': 1.964620359877277e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.0, 'loss': 2.456611490249634, 'learning_rate': 1.964620359877277e-05, 'optimizer_steps': 10}
{'avg_chunks': 2.6, 'loss': 2.5263604402542112, 'learning_rate': 1.964620359877277e-05, 'optimizer_steps': 10}
{'avg_chunks': 2.2, 'loss': 2.4689969062805175, 'learning_rate': 1.9610823958650048e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.8, 'loss': 2.9747907638549806, 'learning_rate': 1.9610823958650048e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.0, 'loss': 2.240109992027283, 'learning_rate': 1.9610823958650048e-05, 'optimizer_steps': 11}
{'avg_chunks': 2.4, 'loss': 2.1393476486206056, 'learning_rate': 1.9610823958650048e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.2, 'loss': 2.5722012519836426, 'learning_rate': 1.9575444318527322e-05, 'optimizer_steps': 12}
{'avg_chunks': 3.2, 'loss': 2.9151144504547117, 'learning_rate': 1.9575444318527322e-05, 'optimizer_steps': 12}
{'avg_chunks': 2.4, 'loss': 2.6041934967041014, 'learning_rate': 1.9575444318527322e-05, 'optimizer_steps': 12}
{'avg_chunks': 3.0, 'loss': 2.5036620616912844, 'learning_rate': 1.95400646784046e-05, 'optimizer_steps': 13}
{'avg_chunks': 2.8, 'loss': 2.6716102600097655, 'learning_rate': 1.95400646784046e-05, 'optimizer_steps': 13}
{'avg_chunks': 2.4, 'loss': 2.071795916557312, 'learning_rate': 1.95400646784046e-05, 'optimizer_steps': 13}
{'avg_chunks': 3.0, 'loss': 2.5217757701873778, 'learning_rate': 1.950468503828188e-05, 'optimizer_steps': 14}
{'avg_chunks': 2.4, 'loss': 2.07441782951355, 'learning_rate': 1.950468503828188e-05, 'optimizer_steps': 14}
{'avg_chunks': 3.0, 'loss': 2.098768639564514, 'learning_rate': 1.950468503828188e-05, 'optimizer_steps': 14}
{'avg_chunks': 3.4, 'loss': 2.6267112255096436, 'learning_rate': 1.9469305398159154e-05, 'optimizer_steps': 15}
{'avg_chunks': 2.8, 'loss': 2.384635305404663, 'learning_rate': 1.9469305398159154e-05, 'optimizer_steps': 15}
{'avg_chunks': 3.4, 'loss': 2.7212964057922364, 'learning_rate': 1.9469305398159154e-05, 'optimizer_steps': 15}
{'avg_chunks': 2.0, 'loss': 2.4533835649490356, 'learning_rate': 1.943392575803643e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.0, 'loss': 2.4069177150726317, 'learning_rate': 1.943392575803643e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.8, 'loss': 2.4484304428100585, 'learning_rate': 1.943392575803643e-05, 'optimizer_steps': 16}
{'avg_chunks': 2.2, 'loss': 2.471732521057129, 'learning_rate': 1.943392575803643e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.2, 'loss': 2.3747661113739014, 'learning_rate': 1.9398546117913708e-05, 'optimizer_steps': 17}
{'avg_chunks': 3.0, 'loss': 2.258799338340759, 'learning_rate': 1.9398546117913708e-05, 'optimizer_steps': 17}
{'avg_chunks': 2.6, 'loss': 2.290245032310486, 'learning_rate': 1.9398546117913708e-05, 'optimizer_steps': 17}
{'avg_chunks': 3.4, 'loss': 2.7037793159484864, 'learning_rate': 1.9363166477790985e-05, 'optimizer_steps': 18}
{'avg_chunks': 2.8, 'loss': 2.437412738800049, 'learning_rate': 1.9363166477790985e-05, 'optimizer_steps': 18}
{'avg_chunks': 2.8, 'loss': 2.860784816741943, 'learning_rate': 1.9363166477790985e-05, 'optimizer_steps': 18}
{'avg_chunks': 2.4, 'loss': 2.6485931873321533, 'learning_rate': 1.9327786837668263e-05, 'optimizer_steps': 19}
{'avg_chunks': 2.8, 'loss': 2.6820774555206297, 'learning_rate': 1.9327786837668263e-05, 'optimizer_steps': 19}
{'avg_chunks': 2.6, 'loss': 2.4013270854949953, 'learning_rate': 1.9327786837668263e-05, 'optimizer_steps': 19}
{'avg_chunks': 3.6, 'loss': 2.419634532928467, 'learning_rate': 1.929240719754554e-05, 'optimizer_steps': 20}
{'avg_chunks': 2.8, 'loss': 2.5899205207824707, 'learning_rate': 1.929240719754554e-05, 'optimizer_steps': 20}
{'avg_chunks': 3.0, 'loss': 2.171192002296448, 'learning_rate': 1.929240719754554e-05, 'optimizer_steps': 20}
{'avg_chunks': 2.4, 'loss': 2.348432993888855, 'learning_rate': 1.9257027557422817e-05, 'optimizer_steps': 21}
