Train Iteration: 100%
9019/9019 [3:51:53<00:00, 1.54s/it]
/usr/local/lib/python3.6/dist-packages/torch/optim/lr_scheduler.py:224: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
{'avg_chunks': 0.6, 'loss': 0.6210422992706299, 'learning_rate': 1.9964522298289864e-05, 'optimizer_steps': 1}
Save completed. storage/outputs/xlnet_trainer_checkpoints/chkpt_0
Val Iteration: 100%
1532/1533 [17:45<00:00, 1.44it/s]

Validation loss: 2.2059133145716285
{'avg_chunks': 3.0, 'loss': 2.5323071479797363, 'learning_rate': 1.9964522298289864e-05, 'optimizer_steps': 1}
{'avg_chunks': 4.0, 'loss': 2.467798948287964, 'learning_rate': 1.9964522298289864e-05, 'optimizer_steps': 1}
{'avg_chunks': 3.0, 'loss': 2.621055793762207, 'learning_rate': 1.9964522298289864e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.2, 'loss': 2.2307531356811525, 'learning_rate': 1.992904459657973e-05, 'optimizer_steps': 2}
{'avg_chunks': 4.0, 'loss': 2.5285582542419434, 'learning_rate': 1.992904459657973e-05, 'optimizer_steps': 2}
{'avg_chunks': 3.0, 'loss': 2.433106875419617, 'learning_rate': 1.992904459657973e-05, 'optimizer_steps': 2}
{'avg_chunks': 3.4, 'loss': 2.320607852935791, 'learning_rate': 1.9893566894869593e-05, 'optimizer_steps': 3}
{'avg_chunks': 3.4, 'loss': 2.1400659561157225, 'learning_rate': 1.9893566894869593e-05, 'optimizer_steps': 3}
{'avg_chunks': 3.0, 'loss': 2.947703552246094, 'learning_rate': 1.9893566894869593e-05, 'optimizer_steps': 3}
{'avg_chunks': 3.2, 'loss': 2.36810359954834, 'learning_rate': 1.985808919315946e-05, 'optimizer_steps': 4}
{'avg_chunks': 2.8, 'loss': 2.5598674774169923, 'learning_rate': 1.985808919315946e-05, 'optimizer_steps': 4}
{'avg_chunks': 4.0, 'loss': 2.75667142868042, 'learning_rate': 1.985808919315946e-05, 'optimizer_steps': 4}
{'avg_chunks': 3.2, 'loss': 2.7672975063323975, 'learning_rate': 1.982261149144932e-05, 'optimizer_steps': 5}
{'avg_chunks': 3.0, 'loss': 2.650110387802124, 'learning_rate': 1.982261149144932e-05, 'optimizer_steps': 5}
{'avg_chunks': 3.2, 'loss': 2.601293659210205, 'learning_rate': 1.982261149144932e-05, 'optimizer_steps': 5}
{'avg_chunks': 2.4, 'loss': 2.1624552249908446, 'learning_rate': 1.9787133789739187e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.2, 'loss': 2.2210092544555664, 'learning_rate': 1.9787133789739187e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.0, 'loss': 2.3966137886047365, 'learning_rate': 1.9787133789739187e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.6, 'loss': 2.4958173274993896, 'learning_rate': 1.9787133789739187e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.2, 'loss': 2.303860902786255, 'learning_rate': 1.975165608802905e-05, 'optimizer_steps': 7}
{'avg_chunks': 3.4, 'loss': 2.5712241649627687, 'learning_rate': 1.975165608802905e-05, 'optimizer_steps': 7}
{'avg_chunks': 3.8, 'loss': 2.682826113700867, 'learning_rate': 1.975165608802905e-05, 'optimizer_steps': 7}
{'avg_chunks': 2.8, 'loss': 2.436980676651001, 'learning_rate': 1.9716178386318913e-05, 'optimizer_steps': 8}
{'avg_chunks': 2.8, 'loss': 2.4340380907058714, 'learning_rate': 1.9716178386318913e-05, 'optimizer_steps': 8}
{'avg_chunks': 3.0, 'loss': 2.2117014169692992, 'learning_rate': 1.9716178386318913e-05, 'optimizer_steps': 8}
{'avg_chunks': 2.4, 'loss': 2.142976474761963, 'learning_rate': 1.968070068460878e-05, 'optimizer_steps': 9}
{'avg_chunks': 3.0, 'loss': 2.5406084060668945, 'learning_rate': 1.968070068460878e-05, 'optimizer_steps': 9}
{'avg_chunks': 2.8, 'loss': 2.3994384765625, 'learning_rate': 1.968070068460878e-05, 'optimizer_steps': 9}
{'avg_chunks': 3.0, 'loss': 2.4373206615448, 'learning_rate': 1.964522298289864e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.2, 'loss': 2.3792153120040895, 'learning_rate': 1.964522298289864e-05, 'optimizer_steps': 10}
{'avg_chunks': 2.4, 'loss': 2.1664222717285155, 'learning_rate': 1.964522298289864e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.2, 'loss': 2.4507568359375, 'learning_rate': 1.9609745281188504e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.2, 'loss': 2.2458283424377443, 'learning_rate': 1.9609745281188504e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.8, 'loss': 2.3662832736968995, 'learning_rate': 1.9609745281188504e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.0, 'loss': 2.081633138656616, 'learning_rate': 1.9609745281188504e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.8, 'loss': 2.6692766189575194, 'learning_rate': 1.9574267579478366e-05, 'optimizer_steps': 12}
{'avg_chunks': 3.2, 'loss': 2.5075772285461424, 'learning_rate': 1.9574267579478366e-05, 'optimizer_steps': 12}
{'avg_chunks': 2.8, 'loss': 2.2389235734939574, 'learning_rate': 1.9574267579478366e-05, 'optimizer_steps': 12}
{'avg_chunks': 2.4, 'loss': 2.394246482849121, 'learning_rate': 1.9538789877768232e-05, 'optimizer_steps': 13}
{'avg_chunks': 3.8, 'loss': 2.641986918449402, 'learning_rate': 1.9538789877768232e-05, 'optimizer_steps': 13}
{'avg_chunks': 2.8, 'loss': 2.4762073040008543, 'learning_rate': 1.9538789877768232e-05, 'optimizer_steps': 13}
{'avg_chunks': 4.8, 'loss': 2.3054508447647093, 'learning_rate': 1.9503312176058095e-05, 'optimizer_steps': 14}
{'avg_chunks': 2.0, 'loss': 2.3975340127944946, 'learning_rate': 1.9503312176058095e-05, 'optimizer_steps': 14}
{'avg_chunks': 2.8, 'loss': 2.259203577041626, 'learning_rate': 1.9503312176058095e-05, 'optimizer_steps': 14}
{'avg_chunks': 3.6, 'loss': 2.497836112976074, 'learning_rate': 1.946783447434796e-05, 'optimizer_steps': 15}
{'avg_chunks': 3.6, 'loss': 2.672044277191162, 'learning_rate': 1.946783447434796e-05, 'optimizer_steps': 15}
{'avg_chunks': 2.2, 'loss': 2.2251023769378664, 'learning_rate': 1.946783447434796e-05, 'optimizer_steps': 15}
{'avg_chunks': 3.2, 'loss': 2.1716998338699343, 'learning_rate': 1.9432356772637823e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.2, 'loss': 2.7346850395202638, 'learning_rate': 1.9432356772637823e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.2, 'loss': 2.350976586341858, 'learning_rate': 1.9432356772637823e-05, 'optimizer_steps': 16}
{'avg_chunks': 2.8, 'loss': 2.547063875198364, 'learning_rate': 1.9432356772637823e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.8, 'loss': 2.5140759229660032, 'learning_rate': 1.939687907092769e-05, 'optimizer_steps': 17}
{'avg_chunks': 3.2, 'loss': 2.4013656616210937, 'learning_rate': 1.939687907092769e-05, 'optimizer_steps': 17}
{'avg_chunks': 3.6, 'loss': 2.4254706144332885, 'learning_rate': 1.939687907092769e-05, 'optimizer_steps': 17}
{'avg_chunks': 3.4, 'loss': 2.7088690280914305, 'learning_rate': 1.9361401369217552e-05, 'optimizer_steps': 18}
{'avg_chunks': 2.2, 'loss': 2.3513538122177122, 'learning_rate': 1.9361401369217552e-05, 'optimizer_steps': 18}
{'avg_chunks': 3.2, 'loss': 1.9794041156768798, 'learning_rate': 1.9361401369217552e-05, 'optimizer_steps': 18}
{'avg_chunks': 3.0, 'loss': 2.5190475225448608, 'learning_rate': 1.9325923667507415e-05, 'optimizer_steps': 19}
{'avg_chunks': 3.2, 'loss': 2.4071417808532716, 'learning_rate': 1.9325923667507415e-05, 'optimizer_steps': 19}
{'avg_chunks': 3.6, 'loss': 2.7653692245483397, 'learning_rate': 1.9325923667507415e-05, 'optimizer_steps': 19}
{'avg_chunks': 2.4, 'loss': 2.4052894115448, 'learning_rate': 1.929044596579728e-05, 'optimizer_steps': 20}
{'avg_chunks': 3.0, 'loss': 2.3461958885192873, 'learning_rate': 1.929044596579728e-05, 'optimizer_steps': 20}
{'avg_chunks': 2.8, 'loss': 2.2386934041976927, 'learning_rate': 1.929044596579728e-05, 'optimizer_steps': 20}
{'avg_chunks': 3.2, 'loss': 2.562226104736328, 'learning_rate': 1.9254968264087143e-05, 'optimizer_steps': 21}
