Train Iteration: 100%
9046/9046 [3:55:39<00:00, 1.56s/it]
/usr/local/lib/python3.6/dist-packages/torch/optim/lr_scheduler.py:224: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
{'avg_chunks': 0.6, 'loss': 1.1779786109924317, 'learning_rate': 1.996462524872872e-05, 'optimizer_steps': 1}
Save completed. storage/outputs/xlnet_trainer_checkpoints/chkpt_0
Val Iteration: 100%
1532/1533 [18:22<00:00, 1.39it/s]

Validation loss: 5.70912081235415
{'avg_chunks': 3.0, 'loss': 6.11258716583252, 'learning_rate': 1.996462524872872e-05, 'optimizer_steps': 1}
{'avg_chunks': 3.2, 'loss': 6.21398344039917, 'learning_rate': 1.996462524872872e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.6, 'loss': 6.412215805053711, 'learning_rate': 1.996462524872872e-05, 'optimizer_steps': 1}
{'avg_chunks': 2.4, 'loss': 5.325655841827393, 'learning_rate': 1.992925049745744e-05, 'optimizer_steps': 2}
{'avg_chunks': 4.4, 'loss': 5.862475490570068, 'learning_rate': 1.992925049745744e-05, 'optimizer_steps': 2}
{'avg_chunks': 2.8, 'loss': 5.533201503753662, 'learning_rate': 1.992925049745744e-05, 'optimizer_steps': 2}
{'avg_chunks': 3.0, 'loss': 6.269579696655273, 'learning_rate': 1.989387574618616e-05, 'optimizer_steps': 3}
{'avg_chunks': 3.6, 'loss': 5.133931732177734, 'learning_rate': 1.989387574618616e-05, 'optimizer_steps': 3}
{'avg_chunks': 2.4, 'loss': 5.184274673461914, 'learning_rate': 1.989387574618616e-05, 'optimizer_steps': 3}
{'avg_chunks': 3.0, 'loss': 4.78284215927124, 'learning_rate': 1.985850099491488e-05, 'optimizer_steps': 4}
{'avg_chunks': 2.4, 'loss': 5.640222549438477, 'learning_rate': 1.985850099491488e-05, 'optimizer_steps': 4}
{'avg_chunks': 3.4, 'loss': 5.048343276977539, 'learning_rate': 1.985850099491488e-05, 'optimizer_steps': 4}
{'avg_chunks': 2.2, 'loss': 5.148862981796265, 'learning_rate': 1.98231262436436e-05, 'optimizer_steps': 5}
{'avg_chunks': 2.4, 'loss': 5.180378532409668, 'learning_rate': 1.98231262436436e-05, 'optimizer_steps': 5}
{'avg_chunks': 4.0, 'loss': 5.203109645843506, 'learning_rate': 1.98231262436436e-05, 'optimizer_steps': 5}
{'avg_chunks': 3.0, 'loss': 5.614924812316895, 'learning_rate': 1.978775149237232e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.4, 'loss': 5.01436128616333, 'learning_rate': 1.978775149237232e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.6, 'loss': 4.844095611572266, 'learning_rate': 1.978775149237232e-05, 'optimizer_steps': 6}
{'avg_chunks': 2.6, 'loss': 5.071257400512695, 'learning_rate': 1.978775149237232e-05, 'optimizer_steps': 6}
{'avg_chunks': 3.0, 'loss': 5.412447166442871, 'learning_rate': 1.975237674110104e-05, 'optimizer_steps': 7}
{'avg_chunks': 4.0, 'loss': 5.449129199981689, 'learning_rate': 1.975237674110104e-05, 'optimizer_steps': 7}
{'avg_chunks': 2.8, 'loss': 4.709645366668701, 'learning_rate': 1.975237674110104e-05, 'optimizer_steps': 7}
{'avg_chunks': 3.0, 'loss': 4.609153079986572, 'learning_rate': 1.971700198982976e-05, 'optimizer_steps': 8}
{'avg_chunks': 2.6, 'loss': 4.323507595062256, 'learning_rate': 1.971700198982976e-05, 'optimizer_steps': 8}
{'avg_chunks': 2.8, 'loss': 4.630043315887451, 'learning_rate': 1.971700198982976e-05, 'optimizer_steps': 8}
{'avg_chunks': 3.0, 'loss': 4.657967758178711, 'learning_rate': 1.968162723855848e-05, 'optimizer_steps': 9}
{'avg_chunks': 2.6, 'loss': 4.485410499572754, 'learning_rate': 1.968162723855848e-05, 'optimizer_steps': 9}
{'avg_chunks': 2.8, 'loss': 4.498482799530029, 'learning_rate': 1.968162723855848e-05, 'optimizer_steps': 9}
{'avg_chunks': 3.4, 'loss': 4.460733795166016, 'learning_rate': 1.96462524872872e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.2, 'loss': 4.5052801132202145, 'learning_rate': 1.96462524872872e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.0, 'loss': 4.434071636199951, 'learning_rate': 1.96462524872872e-05, 'optimizer_steps': 10}
{'avg_chunks': 3.2, 'loss': 4.894322872161865, 'learning_rate': 1.961087773601592e-05, 'optimizer_steps': 11}
{'avg_chunks': 4.0, 'loss': 4.374683094024658, 'learning_rate': 1.961087773601592e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.6, 'loss': 4.564996433258057, 'learning_rate': 1.961087773601592e-05, 'optimizer_steps': 11}
{'avg_chunks': 3.4, 'loss': 4.040119409561157, 'learning_rate': 1.961087773601592e-05, 'optimizer_steps': 11}
{'avg_chunks': 2.4, 'loss': 4.537121105194092, 'learning_rate': 1.9575502984744643e-05, 'optimizer_steps': 12}
{'avg_chunks': 3.0, 'loss': 4.285374402999878, 'learning_rate': 1.9575502984744643e-05, 'optimizer_steps': 12}
{'avg_chunks': 3.4, 'loss': 4.4423473358154295, 'learning_rate': 1.9575502984744643e-05, 'optimizer_steps': 12}
{'avg_chunks': 2.4, 'loss': 4.153236770629883, 'learning_rate': 1.9540128233473362e-05, 'optimizer_steps': 13}
{'avg_chunks': 2.8, 'loss': 3.9213490009307863, 'learning_rate': 1.9540128233473362e-05, 'optimizer_steps': 13}
{'avg_chunks': 3.8, 'loss': 4.376420021057129, 'learning_rate': 1.9540128233473362e-05, 'optimizer_steps': 13}
{'avg_chunks': 2.0, 'loss': 4.3310521125793455, 'learning_rate': 1.950475348220208e-05, 'optimizer_steps': 14}
{'avg_chunks': 2.6, 'loss': 4.4216053009033205, 'learning_rate': 1.950475348220208e-05, 'optimizer_steps': 14}
{'avg_chunks': 3.8, 'loss': 4.0996809005737305, 'learning_rate': 1.950475348220208e-05, 'optimizer_steps': 14}
{'avg_chunks': 3.6, 'loss': 4.411252737045288, 'learning_rate': 1.94693787309308e-05, 'optimizer_steps': 15}
{'avg_chunks': 3.0, 'loss': 3.8040650844573975, 'learning_rate': 1.94693787309308e-05, 'optimizer_steps': 15}
{'avg_chunks': 2.8, 'loss': 4.040148115158081, 'learning_rate': 1.94693787309308e-05, 'optimizer_steps': 15}
{'avg_chunks': 3.8, 'loss': 4.071619939804077, 'learning_rate': 1.943400397965952e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.6, 'loss': 3.9455023765563966, 'learning_rate': 1.943400397965952e-05, 'optimizer_steps': 16}
{'avg_chunks': 2.6, 'loss': 3.8048996448516847, 'learning_rate': 1.943400397965952e-05, 'optimizer_steps': 16}
{'avg_chunks': 3.8, 'loss': 4.496752738952637, 'learning_rate': 1.943400397965952e-05, 'optimizer_steps': 16}
{'avg_chunks': 2.8, 'loss': 3.8111804485321046, 'learning_rate': 1.9398629228388238e-05, 'optimizer_steps': 17}
{'avg_chunks': 2.2, 'loss': 3.889467477798462, 'learning_rate': 1.9398629228388238e-05, 'optimizer_steps': 17}
{'avg_chunks': 2.4, 'loss': 3.7693817615509033, 'learning_rate': 1.9398629228388238e-05, 'optimizer_steps': 17}
{'avg_chunks': 2.6, 'loss': 3.8685348987579347, 'learning_rate': 1.9363254477116958e-05, 'optimizer_steps': 18}
{'avg_chunks': 3.8, 'loss': 3.8895938396453857, 'learning_rate': 1.9363254477116958e-05, 'optimizer_steps': 18}
{'avg_chunks': 4.0, 'loss': 3.7151514053344727, 'learning_rate': 1.9363254477116958e-05, 'optimizer_steps': 18}
{'avg_chunks': 3.2, 'loss': 3.63415150642395, 'learning_rate': 1.932787972584568e-05, 'optimizer_steps': 19}
{'avg_chunks': 2.2, 'loss': 3.53908109664917, 'learning_rate': 1.932787972584568e-05, 'optimizer_steps': 19}
{'avg_chunks': 3.2, 'loss': 3.8653110027313233, 'learning_rate': 1.932787972584568e-05, 'optimizer_steps': 19}
{'avg_chunks': 2.4, 'loss': 3.515428924560547, 'learning_rate': 1.92925049745744e-05, 'optimizer_steps': 20}
{'avg_chunks': 3.4, 'loss': 3.481880855560303, 'learning_rate': 1.92925049745744e-05, 'optimizer_steps': 20}
{'avg_chunks': 4.0, 'loss': 3.985157012939453, 'learning_rate': 1.92925049745744e-05, 'optimizer_steps': 20}
{'avg_chunks': 2.8, 'loss': 3.559449291229248, 'learning_rate': 1.925713022330312e-05, 'optimizer_steps': 21}
